SubBand: 4600 - 5200 (600)
SubBand: 5200 - 5820 (620)
SubBand: 5820 - 6450 (630)
SubBand: 6450 - 7100 (650)
DM	NBIN	NCHAN_IN	NCHAN_OUT	Subband	BW	CFREQ	NFFT	PERF
885	64	60	60	1	600	4900	1048576	1.1451569
885	64	62	62	2	620	5510	1048576	1.1748745
885	64	63	63	3	630	6135	1048576	1.1896356
885	64	65	65	4	650	6775	1048576	1.1792832
1485	64	60	1920	1	600	4900	32768	1.0319391
1485	64	62	1984	2	620	5510	32768	0.963683
1485	64	63	2016	3	630	6135	32768	1.0707915
1485	64	65	2080	4	650	6775	32768	1.0589916
885	2048	60	60	1	600	4900	1048576	1.1496442
885	2048	62	62	2	620	5510	1048576	1.1772643
885	2048	63	63	3	630	6135	1048576	1.1895518
885	2048	65	65	4	650	6775	1048576	1.1747079
1485	2048	60	1920	1	600	4900	32768	1.0256997
1485	2048	62	1984	2	620	5510	32768	1.0539948
1485	2048	63	2016	3	630	6135	32768	1.0617193
1485	2048	65	2080	4	650	6775	32768	1.0544183
